id,name,birthday,mobile_phone,temporarily_number,password,address,detail_address,job_id,session_limit,session_key,pw_checked,state,course_code,groups_id
ac.mattis@gmail.com,한수호,950106,01007342338,022426096,0ffe1abd1a08215353c233d6e009613e95eec4253832a761af28ff37ac5a150c,Trier,"8194 Et, Av. 3409",4,"2019-11-20 18:54:54",492B6D13A863C0261B9A71DD926C048D,1,훈련중,5,NULL
ante.blandit@gmail.com,전윤정,850328,01095699955,029636247,752197,Montgomery,"Ap #139-3583 Donec Av. 2757",4,"2019-10-28 19:16:12",none,0,훈련중,5,NULL
bananatown@gmail.com,박문영,830101,01026310467,NULL,1111,서울시,어딘가,4,"2019-11-20 11:29:35",none,0,훈련중,7,5
chaeshinnananana@naver.com,나채신,940321,01098561234,024893321,877884,"Swan Hills","9443 Quam St. 6493",4,"2019-11-20 12:38:26",none,0,훈련중,7,6
cheein@naver.com,이채인,800301,01078945612,027894561,877884,"Swan Hills","9443 Quam St. 6493",4,"2019-11-20 12:38:27",none,0,훈련중,7,6
commodo.hendrerit@naver.com,우은재,801216,01052763902,01095030176,133447,Asnières-sur-Seine,"Ap #648-3583 Auctor Av. 2298",4,"2019-10-28 19:16:12",none,0,중도하차,5,NULL
consequat.purus.adipiscing@naver.com,진다정,850928,01078946532,027896513,877884,"Swan Hills","9443 Quam St. 6493",4,"2019-11-20 12:38:27",none,0,훈련중,7,6
dladmswl@gmail.com,임은지,940525,01032143214,NULL,1111,서울특별시,우리집,4,"2019-11-21 09:18:31",none,0,훈련종료,3,1
dlaengus63@naver.com,임두현,940302,01051666768,,41c991eb6a66242c0454191244278183ce58cf4a6bcd372f799e4b9cc01886af,"경기도 군포시",,4,"2019-11-20 11:29:50",none,1,훈련중,7,5
eleifend.nunc@naver.com,류태윤,761128,01072928178,01095983933,4210,Garaguso,"3995 Egestas. Road",4,"2019-11-20 12:37:36",none,0,중도하차,2,NULL
enim.condimentum@gmail.com,선소라,940118,01003807814,01076240732,013875,"Williams Lake","7136 Egestas Rd. 1632",4,"2019-10-28 19:16:12",none,0,훈련중,5,NULL
eu.tellus@gmail.com,한보라,800115,01001185434,01065902716,300383,Boulogne-Billancourt,"164 Ornare St. 3320",4,"2019-11-15 17:08:34",none,0,훈련중,9,NULL
eu.tempor@naver.com,하유미,730426,01049196721,028896703,0797,"Le Cannet","Ap #775-2322 Velit Avenue",4,"2019-10-28 19:16:26",none,0,훈련중,10,NULL
euismod.ac@actellus.edu,강은재,941002,01047540609,01058029054,6687,Biesme-sous-Thuin,"716-4536 Tempus Avenue",4,"2019-11-20 10:34:41",none,0,훈련중,9,NULL
facilisi.Sed@gmail.com,노태민,920808,01094563213,027895612,877884,"Swan Hills","9443 Quam St. 6493",4,"2019-11-20 12:38:43",none,0,훈련중,7,7
faucibus@gmail.com,소혜빈,710623,01079350405,01019630072,8771,Onoz,"P.O. Box 844, 3673 Risus. Road",4,"2019-10-28 19:16:26",none,0,훈련중,10,NULL
fermentum.risus@naver.com,권현진,921103,01012347777,024911816,877884,"Swan Hills","9443 Quam St. 6493",4,"2019-11-20 12:24:03",none,0,훈련중,5,NULL
france@gmail.com,박상현,920603,01006030603,NULL,1111,서울특별시,우리집,4,"2019-11-21 09:18:32",none,0,훈련종료,3,1
ghkd6385@naver.com,황지영,911118,01050966587,NULL,1111,울산광역시,울주군,4,"2019-11-21 09:18:32",none,0,훈련종료,3,2
heejin@gmail.com,황희진,940124,01028216691,NULL,1111,인천시,어딘가,4,"2019-11-20 11:29:50",none,0,훈련중,7,5
hongsikkimkim@naver.com,김홍식,920809,01009456321,024911865,877884,"Swan Hills","9443 Quam St. 6493",4,"2019-11-20 12:38:43",none,0,훈련중,7,7
ipsum.leo@gmail.com,임영애,850328,01095699955,029630301,752197,Montgomery,"Ap #139-3583 Donec Av. 2757",4,"2019-11-20 12:38:43",none,0,훈련중,7,7
jinyoung@gmail.com,김진영,900630,01029771964,NULL,1111,"경기도 안산시",상록수,4,"2019-11-21 09:18:32",none,0,훈련종료,3,2
jiyehwang1@gmail.com,황지예,900829,01037408626,NULL,1111,"경기도 수원시",아파트,4,"2019-11-20 11:29:50",none,0,훈련중,7,5
jooyoung@gmail.com,김주영,940826,01063037794,NULL,1111,"경기도 남양주시",시골,4,"2019-11-21 09:18:32",none,0,훈련종료,3,3
jsone@gmail.com,전승원,950420,01098201984,NULL,1111,서울특별시,우리집,4,"2019-11-21 09:18:32",none,0,훈련종료,3,3
kayun0101@gmail.com,변가윤,920101,01045678960,021234567,111111,Galade,"123 Suery st. 789",4,"2019-11-21 09:18:32",none,0,훈련종료,3,3
kimyeonyeon@naver.com,김슬연,990703,01009468124,,877884,"Swan Hills","9443 Quam St. 6493",4,"2019-11-20 12:38:43",none,0,훈련중,7,7
kyuhwanji1234@naver.com,지규환,980506,01009478034,,877884,"Swan Hills","9443 Quam St. 6493",4,"2019-11-20 12:38:43",none,0,훈련중,7,7
kyujunjo@naver.com,조규준,970303,01009538034,024911816,877884,"Swan Hills","9443 Quam St. 6493",4,"2019-11-20 12:39:03",none,0,훈련중,7,6
kyuyun01@naver.com,이규윤,850304,01009328034,,877884,"Swan Hills","9443 Quam St. 6493",4,"2019-11-20 12:39:03",none,0,훈련중,7,6
lectus@naver.com,전량운,940118,01003807814,01076240732,013875,"Williams Lake","7136 Egestas Rd. 1632",4,"2019-11-20 12:39:03",none,0,훈련중,7,6
leeyu10202@naver.com,이유연,950808,01078856213,NULL,1111,Montgomery,Ap#12345,4,"2019-11-20 19:33:59",none,0,훈련종료,3,NULL
libero.Proin.sed@gmail.com,오재훈,970227,01007876751,01034469228,7705,Campli,"6811 Ipsum St.",4,"2019-11-20 10:39:25",none,0,훈련중,9,NULL
lorem.eget.mollis@naver.com,김태민,950303,01009461234,024911816,877884,"Swan Hills","9443 Quam St. 6493",4,"2019-11-20 12:39:11",none,0,훈련중,7,8
luca-kang@gmail.com,강동구,910101,01071206951,NULL,1111,서울시,어딘가,4,"2019-11-20 11:29:50",none,0,훈련중,7,5
mi.felis.adipiscin@gmail.com,장제훈,841126,01080531431,026527939,0655,Segni,"696-2874 Nec Rd.",4,"2019-11-20 10:39:37",none,0,훈련중,9,NULL
mi.lorem.vehicula@naver.com,연지현,760305,01041105583,028503000,2914,"La Salle","P.O. Box 859, 1372 Nulla St.",4,"2019-11-20 10:39:37",none,0,훈련중,6,NULL
minlimno2323@naver.com,노민림,870202,01074236541,NULL,1111,Montgomery,Ap#12345,4,"2019-11-21 09:18:32",none,0,훈련종료,3,4
Nam.nulla@naver.com,채우빈,990322,01095484703,01013538360,607696,"Bognor Regis","814-3037 Aliquam Avenue 6921",4,"2019-11-20 12:39:11",none,0,훈련중,7,8
nawonpark@naver.com,박나원,011230,01009468034,024911816,877884,"Swan Hills","9443 Quam St. 6493",4,"2019-11-20 12:39:11",none,0,훈련중,7,8
nayeonhanhan7888@naver.com,한나연,921203,01045678912,NULL,1111,Montgomery,Ap#12345,4,"2019-11-21 09:18:32",none,0,훈련종료,3,4
nec@gmail.com,박수호,930919,01029292607,022323993,6679,Burin,"231-3135 Mi, Rd.",4,"2019-11-20 10:39:37",none,0,훈련중,6,NULL
